,id,created_at,updated_at,status,delay_duration,source_type,card_details_status,card_card_brand,card_last_4,card_fingerprint,card_card_type,card_prepaid_type,card_bin,card_details_entry_method,card_details_cvv_status,card_details_avs_status,card_details_statement_description,card_payment_timeline_authorized_at,card_payment_timeline_captured_at,location_id,order_id,risk_evaluation_created_at,risk_evaluation_risk_level,effective_at,type,total_money_currency,approved_money_currency,receipt_number,receipt_url,delay_action,delayed_until,application_details_square_product,application_details_application_id,version_token
0,ROD8wxacef3e8A8oU4Jp1C8oJkcZY,2024-05-11T19:14:55.060Z,2024-05-11T19:14:56.484Z,COMPLETED,PT168H,CARD,CAPTURED,VISA,5858,sq-1-mzz3vE0RTtj6Nxfpv8kHBKGgDw74TBOFWf_Wof8lToLm2jOrmrFCnX2uCQ2RZ-cdjg,CREDIT,NOT_PREPAID,453275,KEYED,CVV_ACCEPTED,AVS_ACCEPTED,SQ *DEFAULT TEST ACCOUNT,2024-05-11T19:14:55.179Z,2024-05-11T19:14:55.333Z,LT9QVCXSARE9G,Xvj7aAR6lmr3U4aa80BMvPkQ0a4F,2024-05-11T19:14:55.179Z,NORMAL,2024-05-11T21:14:56.000Z,INITIAL,USD,USD,ROD8,https://squareupsandbox.com/receipt/preview/ROD8wxacef3e8A8oU4Jp1C8oJkcZY,CANCEL,2024-05-18T19:14:55.060Z,ECOMMERCE_API,sandbox-sq0idb-kUkgPZsjXviQduph8QQWYA,vJ9ke4Kws4BK4dDf0DywShF3oyvKw30HvuGDWD0QhE35o
1,VQhZnXhLsIcv1HF63ZgI7AQycG8YY,2024-05-11T19:14:54.260Z,2024-05-11T19:14:55.454Z,COMPLETED,PT168H,CARD,CAPTURED,VISA,5858,sq-1-mzz3vE0RTtj6Nxfpv8kHBKGgDw74TBOFWf_Wof8lToLm2jOrmrFCnX2uCQ2RZ-cdjg,CREDIT,NOT_PREPAID,453275,KEYED,CVV_ACCEPTED,AVS_ACCEPTED,SQ *DEFAULT TEST ACCOUNT,2024-05-11T19:14:54.384Z,2024-05-11T19:14:54.529Z,LT9QVCXSARE9G,vZ4mgvoizzYio9N3NMMn4EWMjh4F,2024-05-11T19:14:54.384Z,NORMAL,2024-05-11T21:14:55.000Z,INITIAL,USD,USD,VQhZ,https://squareupsandbox.com/receipt/preview/VQhZnXhLsIcv1HF63ZgI7AQycG8YY,CANCEL,2024-05-18T19:14:54.260Z,ECOMMERCE_API,sandbox-sq0idb-kUkgPZsjXviQduph8QQWYA,Ps7bBDlDmUnwX2L9mPQIQMcww9ADXIQj8LzracARbuZ6o
2,FUFCWWyqixjTblfQfZcElmRh9AVZY,2024-05-11T19:14:53.432Z,2024-05-11T19:14:54.413Z,COMPLETED,PT168H,CARD,CAPTURED,VISA,5858,sq-1-mzz3vE0RTtj6Nxfpv8kHBKGgDw74TBOFWf_Wof8lToLm2jOrmrFCnX2uCQ2RZ-cdjg,CREDIT,NOT_PREPAID,453275,KEYED,CVV_ACCEPTED,AVS_ACCEPTED,SQ *DEFAULT TEST ACCOUNT,2024-05-11T19:14:53.553Z,2024-05-11T19:14:53.701Z,LT9QVCXSARE9G,znemozICKbbLcwArXOzYqwUk0e4F,2024-05-11T19:14:53.554Z,NORMAL,2024-05-11T21:14:54.000Z,INITIAL,USD,USD,FUFC,https://squareupsandbox.com/receipt/preview/FUFCWWyqixjTblfQfZcElmRh9AVZY,CANCEL,2024-05-18T19:14:53.432Z,ECOMMERCE_API,sandbox-sq0idb-kUkgPZsjXviQduph8QQWYA,Jh1CVsJe1UksyIvDwyLJGqaVP32pqbOuOo9ftGus0vm6o
3,ZsC3tDItoN5v4gM7BYf2Q3af2VCZY,2024-05-11T19:14:52.637Z,2024-05-11T19:14:53.945Z,COMPLETED,PT168H,CARD,CAPTURED,VISA,5858,sq-1-mzz3vE0RTtj6Nxfpv8kHBKGgDw74TBOFWf_Wof8lToLm2jOrmrFCnX2uCQ2RZ-cdjg,CREDIT,NOT_PREPAID,453275,KEYED,CVV_ACCEPTED,AVS_ACCEPTED,SQ *DEFAULT TEST ACCOUNT,2024-05-11T19:14:52.760Z,2024-05-11T19:14:52.919Z,LT9QVCXSARE9G,58zAE62kdSzqYYm4IIyP2KWw1e4F,2024-05-11T19:14:52.761Z,NORMAL,2024-05-11T21:14:53.000Z,INITIAL,USD,USD,ZsC3,https://squareupsandbox.com/receipt/preview/ZsC3tDItoN5v4gM7BYf2Q3af2VCZY,CANCEL,2024-05-18T19:14:52.637Z,ECOMMERCE_API,sandbox-sq0idb-kUkgPZsjXviQduph8QQWYA,oVTM5EmplcJrWU2IFsKNOwmoOPxhx8LZEhTa0LvpNPN6o
4,Lv92jtlTmp78tpx8IoXFskhyY0GZY,2024-05-11T19:14:51.777Z,2024-05-11T19:14:54.142Z,COMPLETED,PT168H,CARD,CAPTURED,VISA,5858,sq-1-mzz3vE0RTtj6Nxfpv8kHBKGgDw74TBOFWf_Wof8lToLm2jOrmrFCnX2uCQ2RZ-cdjg,CREDIT,NOT_PREPAID,453275,KEYED,CVV_ACCEPTED,AVS_ACCEPTED,SQ *DEFAULT TEST ACCOUNT,2024-05-11T19:14:51.898Z,2024-05-11T19:14:52.048Z,LT9QVCXSARE9G,dmxRaHnw0y96DGEEptksywdqJa4F,2024-05-11T19:14:51.898Z,NORMAL,2024-05-11T21:14:54.000Z,INITIAL,USD,USD,Lv92,https://squareupsandbox.com/receipt/preview/Lv92jtlTmp78tpx8IoXFskhyY0GZY,CANCEL,2024-05-18T19:14:51.777Z,ECOMMERCE_API,sandbox-sq0idb-kUkgPZsjXviQduph8QQWYA,6vYUPHV5AbAaCjlsofJecaRG4Z5Y1fV6UKm68edAK5k6o
5,n1BE8NYilSF2VIoCfHqHrDB74YfZY,2024-05-11T19:14:50.714Z,2024-05-11T19:14:51.374Z,COMPLETED,PT168H,CARD,CAPTURED,VISA,5858,sq-1-mzz3vE0RTtj6Nxfpv8kHBKGgDw74TBOFWf_Wof8lToLm2jOrmrFCnX2uCQ2RZ-cdjg,CREDIT,NOT_PREPAID,453275,KEYED,CVV_ACCEPTED,AVS_ACCEPTED,SQ *DEFAULT TEST ACCOUNT,2024-05-11T19:14:50.836Z,2024-05-11T19:14:50.979Z,LT9QVCXSARE9G,1cGvplUV9GT6wMwl1zc3OSKM2c4F,2024-05-11T19:14:50.836Z,NORMAL,2024-05-11T21:14:51.000Z,INITIAL,USD,USD,n1BE,https://squareupsandbox.com/receipt/preview/n1BE8NYilSF2VIoCfHqHrDB74YfZY,CANCEL,2024-05-18T19:14:50.714Z,ECOMMERCE_API,sandbox-sq0idb-kUkgPZsjXviQduph8QQWYA,9JcsdrHMZooumHarHJ8XpXGfT4tqOAZYQaibpn2Bw1D6o
6,5GVqNWxOxtrfb1dFiFPa8Emh9tVZY,2024-05-11T19:14:49.850Z,2024-05-11T19:14:51.333Z,COMPLETED,PT168H,CARD,CAPTURED,VISA,5858,sq-1-mzz3vE0RTtj6Nxfpv8kHBKGgDw74TBOFWf_Wof8lToLm2jOrmrFCnX2uCQ2RZ-cdjg,CREDIT,NOT_PREPAID,453275,KEYED,CVV_ACCEPTED,AVS_ACCEPTED,SQ *DEFAULT TEST ACCOUNT,2024-05-11T19:14:49.973Z,2024-05-11T19:14:50.125Z,LT9QVCXSARE9G,1oSESV4tgcW6dNAZ4lDT7Awema4F,2024-05-11T19:14:49.973Z,NORMAL,2024-05-11T21:14:51.000Z,INITIAL,USD,USD,5GVq,https://squareupsandbox.com/receipt/preview/5GVqNWxOxtrfb1dFiFPa8Emh9tVZY,CANCEL,2024-05-18T19:14:49.850Z,ECOMMERCE_API,sandbox-sq0idb-kUkgPZsjXviQduph8QQWYA,Btxp9zRcanwUn6oYrw0wGreHcaG8My5myliBZa6EpFt6o
7,zp2H651JTRVaLJvG6ggvw6WtmaSZY,2024-05-11T19:14:49.029Z,2024-05-11T19:14:50.334Z,COMPLETED,PT168H,CARD,CAPTURED,VISA,5858,sq-1-mzz3vE0RTtj6Nxfpv8kHBKGgDw74TBOFWf_Wof8lToLm2jOrmrFCnX2uCQ2RZ-cdjg,CREDIT,NOT_PREPAID,453275,KEYED,CVV_ACCEPTED,AVS_ACCEPTED,SQ *DEFAULT TEST ACCOUNT,2024-05-11T19:14:49.151Z,2024-05-11T19:14:49.297Z,LT9QVCXSARE9G,lYmw0yQ80sSO9ysVCCk4TfPTBb4F,2024-05-11T19:14:49.152Z,NORMAL,2024-05-11T21:14:50.000Z,INITIAL,USD,USD,zp2H,https://squareupsandbox.com/receipt/preview/zp2H651JTRVaLJvG6ggvw6WtmaSZY,CANCEL,2024-05-18T19:14:49.029Z,ECOMMERCE_API,sandbox-sq0idb-kUkgPZsjXviQduph8QQWYA,fBVcn7B1iWOf6CHWE82WgyqU2SPB9fLod4RPtIPnoML6o
8,hwcaCC7MWwFg2JPmlj0QvScUpJPZY,2024-05-11T19:14:48.245Z,2024-05-11T19:14:49.292Z,COMPLETED,PT168H,CARD,CAPTURED,VISA,5858,sq-1-mzz3vE0RTtj6Nxfpv8kHBKGgDw74TBOFWf_Wof8lToLm2jOrmrFCnX2uCQ2RZ-cdjg,CREDIT,NOT_PREPAID,453275,KEYED,CVV_ACCEPTED,AVS_ACCEPTED,SQ *DEFAULT TEST ACCOUNT,2024-05-11T19:14:48.365Z,2024-05-11T19:14:48.507Z,LT9QVCXSARE9G,DHiQrjef6HEfyLZKPRlNNHKdYg4F,2024-05-11T19:14:48.365Z,NORMAL,2024-05-11T21:14:49.000Z,INITIAL,USD,USD,hwca,https://squareupsandbox.com/receipt/preview/hwcaCC7MWwFg2JPmlj0QvScUpJPZY,CANCEL,2024-05-18T19:14:48.245Z,ECOMMERCE_API,sandbox-sq0idb-kUkgPZsjXviQduph8QQWYA,5axDx8qZLAF681968uxtI6KSbw0wQxFrLoCqgj7GsEh6o
9,Dtc5rWiEj5Y57dkvznbNoctFjKGZY,2024-05-11T19:14:47.407Z,2024-05-11T19:14:49.018Z,COMPLETED,PT168H,CARD,CAPTURED,VISA,5858,sq-1-mzz3vE0RTtj6Nxfpv8kHBKGgDw74TBOFWf_Wof8lToLm2jOrmrFCnX2uCQ2RZ-cdjg,CREDIT,NOT_PREPAID,453275,KEYED,CVV_ACCEPTED,AVS_ACCEPTED,SQ *DEFAULT TEST ACCOUNT,2024-05-11T19:14:47.531Z,2024-05-11T19:14:47.687Z,LT9QVCXSARE9G,JGOZYnKmKNEV7CBi523R16rdjg4F,2024-05-11T19:14:47.531Z,NORMAL,2024-05-11T21:14:49.000Z,INITIAL,USD,USD,Dtc5,https://squareupsandbox.com/receipt/preview/Dtc5rWiEj5Y57dkvznbNoctFjKGZY,CANCEL,2024-05-18T19:14:47.407Z,ECOMMERCE_API,sandbox-sq0idb-kUkgPZsjXviQduph8QQWYA,fK1LtMPs0TtatXTBV2ZhrYTjuMbMAiVTcV4NkyFsvxd6o
